SourceID,Classification,RA,Dec,Referenced
4001219269105,jellyfish,189.3093139,26.2254173,False
4000736631061,clumpy,150.0910022,1.8665337,True
6000513983281,odd,149.8459944,2.3873828,True
6000405511482,merger,127.7775226,65.8408696,False
4001116140862,odd,22.9836042,-13.6106223,True
4000794685791,jellyfish,73.5893528,-3.1433257,True
4001273313328,merger,53.0776884,-27.7082222,True
4000708694313,merger,53.12122370000001,-27.7154276,True
4000829131004,high-z,186.5975743,12.5554523,False
4000859572705,merger,9.2644966,9.1508978,False
4000914427097,lens,259.0369381,58.967333700000005,False
4000867415395,lens,199.6222898,-1.0725441999999998,True
4001012309588,odd,104.6465212,-55.965525,False
4001100830282,merger,109.5505067,37.6477204,False
4001252745698,odd,357.6264334,-43.495286,False
4001128171286,overlap,214.9408308,52.7971025,True
4001170753923,unknown,32.399809,-4.634332,False
4001077390547,agn,150.4894117,2.688282,True
4001255830056,odd,53.0443611,-27.8951318,True
4001268262733,odd,336.107953,5.4075298,False
4000921323678,lens,183.7218998,36.2190893,False
4000964425003,merger,34.3205035,-5.2032944,True
4001115954620,merger,149.8240454,30.7567389,False
6000409188683,arc,203.1709047,50.5510005,False
4001012842553,merger,322.4018231,-7.626341,False
4000833531729,jellyfish,188.1259925,-12.8158855,False
4000764048942,odd,125.4094637,37.5400136,False
6000360825362,merger,116.2384975,39.4682771,False
4001289743523,high-z,150.2491003,55.8991238,False
4001132466390,lens,126.4962943,26.445149,False
4001158062137,merger,208.6690495,77.2627438,False
4184674881,odd,216.4813993,35.5124877,False
4001009541825,merger,258.3085847,59.0025287,False
6000431863490,merger,262.8993122,22.868973,False
4000744715522,merger,150.50687549999998,2.7854438,True
4001234056806,merger,149.5512177,2.0888742,True
4001205034990,merger,192.3862425,15.1673137,False
6000411921018,lens,177.3888052,22.4240928,False
4001227842467,jellyfish,59.092748,-53.6310978,True
4000771571489,merger,140.3060838,45.4928015,False
4001241425148,merger,3.5611125,-30.3925024,False
6000510817094,merger,127.7381874,19.2225127,False
4000808752206,merger,53.2660836,-27.8406155,True
4000820788977,odd,0.2287197,33.464823,False
6000266857035,high-z,219.2660973,35.0162314,False
4001177642975,merger,189.2660283,62.1448709,True
4001126749717,merger,149.9306528,2.0837951,True
6000327769656,arc,72.988702,0.1062594,True
4000824014205,merger,8.882309800000002,39.6158234,False
6000372417930,merger,150.028826,1.8891985,True
4001368843313,unknown,64.1225217,-24.1739553,False
6000444529414,merger,150.4088446,1.9284534,True
6000445695131,lensed quasar,308.4256803,-47.3956781,True
4000752057980,merger,49.5193755,-25.6209349,False
4000956848315,merger,242.2908662,65.5531777,False
4001051224789,merger,159.9139734,-0.2134997,False
6000531279486,merger,149.7177624,1.8496819,False
4001318807194,merger,154.6237226,-12.2605706,False
4001301478510,agn,214.9050412,52.8502311,True
4000897901127,merger,4.398818299999999,43.0801763,False
4001416991017,merger,126.0109497,71.030385,False
4001074372006,lens,12.2460344,40.285199,False
4001264761538,merger,153.2511879,-1.628958,False
4001308732253,merger,150.1073338,2.3291158,True
4001234056723,merger,149.5634956,2.0864483,True
4000876572122,lens,247.9596657,18.900856,True
4000936623000,odd,359.7189981,30.7686933,False
4000948683654,merger,164.5061348,-3.562093,False
4001264760777,merger,153.2784628,-1.6470438,False
4000983640759,merger,149.65330519999998,2.1730537999999995,True
4001267991375,lens,91.8598783,-44.7825176,False
4001416468743,merger,7.1080203,39.9170512,False
4001029451453,merger,53.0577019,-27.9706077,True
4001255565016,merger,289.2952119,-33.534245,False
4001174797474,lens,44.2763721,-23.4294693,False
4000770901206,jellyfish,72.9890897,0.1145761,True
4001287180204,merger,181.3762822,-7.3776032,False
4001239185404,unknown,62.2268428,-24.3181917,False
4001183884493,lens,149.8363892,2.3350957,True
4000851707595,odd,216.6458014,35.345324600000005,False
4001116515700,merger,150.4266552,1.6870248,True
4586458027,merger,218.8397056,34.056531799999995,False
4001295556033,merger,35.2463149,35.9212062,False
4001204531330,merger,165.9172764,-12.7483294,True
4001202131043,merger,164.2167527,-3.7820525,False
4001268928801,merger,0.7223445,-60.9009767,False
4001307291527,high-z,150.1768166,2.3470169,True
4001284171999,merger,243.8419933,20.9634909,False
4000858486459,odd,10.229256199999998,38.6641505,False
4001254425690,unknown,359.1702393,-59.6186725,False
4000816112812,merger,216.6429496,56.6867525,False
4001077390543,odd,150.487164,2.6877317,True
4000707074682,lens,188.4962838,7.7844087,False
4000928430787,merger,150.4899861,2.0304496,True
4001444190837,merger,183.5374261,33.1741137,False
4514553805,merger,35.8753385,42.3836475,False
4001046604579,merger,217.4220472,34.5363352,False
4000769543251,merger,259.2578157,59.84605379999999,False
4000723541895,lens,3.6095129,-30.3820951,True
4001431152628,merger,209.734253,62.4113153,False
4000995502321,merger,250.7740278,31.9231102,False
4000951852247,merger,175.1901224,-26.5105939,False
6000160391020,merger,334.5025875,0.2600947,False
4000886463887,overlap,259.41769480000005,59.50163520000001,False
4000749605640,merger,158.6686476,52.0091912,False
4000774297668,merger,204.4762367,36.3570474,False
6000396551003,merger,242.9205053,52.4573674,True
4001063764070,lens,9.1034742,49.6507278,False
4001102813080,odd,163.3460001,57.2684017,False
6000180544796,merger,255.2450995,64.1929496,False
4000769870046,merger,229.0950086,56.202562,False
4001321564621,odd,336.3797721,12.9975881,False
6000535892045,lens,150.077478,2.6459763,True
6000443216944,merger,3.4701528,-30.3650238,True
4001253242031,clumpy,172.9946095,-19.9271303,False
6000181303579,high-z,259.2054646,60.2941898,False
4001089103685,merger,194.6432265,14.1785817,False
4000719967004,jellyfish,247.1443853,39.5592176,False
4000896310735,lens,43.1733732,-15.007093,False
4000985915533,ring,150.69391140000002,2.291419,True
4000741012611,merger,240.93635130000004,43.4385469,False
4000982431442,merger,150.75690519999998,2.607143,True
4001221380940,odd,359.2657445,43.5625407,False
4001130183482,lens,330.988178,18.8970859,False
4000739191736,merger,222.8861664,-2.6871255,False
4000988833886,jellyfish,206.913828,-11.7309487,True
4000823052374,odd,334.4409615,0.2727208,False
6000446039157,lens,116.2121393,39.4598295,True
6000331552942,merger,150.0558171,2.2334286,True
4000862007946,jellyfish,241.1592601,43.3791297,True
4001047162327,merger,188.7274663,15.4838053,False
4184459971,arc,203.1709989,50.5511578,False
6000221127515,merger,90.8243516,42.2407136,True
4001416992026,merger,125.8965623,71.0338114,False
4000765166875,merger,229.2072993,7.0425071,False
4001426074299,arc,197.8795253,-1.3615041,True
4000884994630,merger,203.7208565,-27.1620991,False
4000958465798,merger,218.0087103,63.2982184,False
